"diameter","albedo","spkid","full_name","pha","H","e","a","q","i","n","per","per_y","moid","class"
1.80,0.4328,20002201,"  2201 Oljato (1947 XC)",Y,15.32,0.7107,2.179,0.630,2.52,0.3065,1.17e+03,3.22,0.00278,APO
,,20002202,"  2202 Pele (1972 RA)",N,16.98,0.5129,2.291,1.116,8.74,0.2843,1.27e+03,3.47,0.143,AMO
5.7,0.163,20002212,"  2212 Hephaistos (1978 SB)",N,13.49,0.8347,2.168,0.358,11.20,0.3088,1.17e+03,3.19,0.112,APO
,,20002329,"  2329 Orthos (1976 WA)",N,14.58,0.6533,2.411,0.836,24.46,0.2632,1.37e+03,3.74,0.0936,APO
0.3,,20002340,"  2340 Hathor (1976 UA)",Y,20.43,0.4499,0.8439,0.464,5.86,1.271,283,0.775,0.00663,ATE
2.3,0.27,20002368,"  2368 Beltrovata (1977 RA)",N,15.15,0.4134,2.105,1.235,5.22,0.3228,1.12e+03,3.05,0.231,AMO
0.9,0.21,20002608,"  2608 Seneca (1978 DA)",N,17.48,0.5647,2.53,1.102,14.43,0.2449,1.47e+03,4.03,0.153,AMO
1.6,,20003102,"  3102 Krok (1981 QA)",N,16.16,0.4492,2.151,1.185,8.44,0.3124,1.15e+03,3.16,0.183,AMO
1.5,0.64,20003103,"  3103 Eger (1982 BB)",N,15.30,0.3542,1.404,0.907,20.93,0.5925,608,1.66,0.0786,APO
4.9,0.231,20003122,"  3122 Florence (1981 ET3)",Y,14.08,0.4232,1.769,1.020,22.14,0.4189,859,2.35,0.0436,AMO
2.2,0.42,20003199,"  3199 Nefertiti (1982 RA)",N,14.99,0.2841,1.575,1.127,32.96,0.4988,722,1.98,0.215,AMO
6.25,0.1066,20003200,"  3200 Phaethon (1983 TB)",Y,14.39,0.8897,1.271,0.140,22.31,0.6875,524,1.43,0.0187,APO
,,20003271,"  3271 Ul (1982 RB)",N,16.57,0.3955,2.102,1.270,25.07,0.3235,1.11e+03,3.05,0.276,AMO
2.8,0.22,20003288,"  3288 Seleucus (1982 DV)",N,15.34,0.4545,2.034,1.110,5.93,0.3397,1.06e+03,2.9,0.105,AMO
,,20003352,"  3352 McAuliffe (1981 CW)",N,15.93,0.3691,1.879,1.185,4.77,0.3826,941,2.58,0.202,AMO
1.8,0.17,20003360,"  3360 Syrinx (1981 VA)",N,16.04,0.7474,2.466,0.623,21.07,0.2545,1.41e+03,3.87,0.11,APO
0.3,0.357,20003361,"  3361 Orpheus (1982 HR)",Y,19.54,0.3232,1.21,0.819,2.65,0.7404,486,1.33,0.0146,APO
0.7,0.21,20003362,"  3362 Khufu (1984 QA)",Y,18.52,0.4685,0.9895,0.526,9.92,1.001,360,0.984,0.013,ATE
0.9,0.37,20003551,"  3551 Verenia (1983 RD)",N,16.72,0.4868,2.093,1.074,9.51,0.3255,1.11e+03,3.03,0.0749,AMO
19.0,0.03,20003552,"  3552 Don Quixote (1983 SA)",N,13.04,0.7073,4.27,1.250,31.05,0.1117,3.22e+03,8.82,0.342,AMO
,,20003553,"  3553 Mera (1985 JA)",N,16.40,0.3200,1.645,1.118,36.77,0.4673,770,2.11,0.293,AMO
3.341,0.074,20003554,"  3554 Amun (1986 EB)",N,15.91,0.2806,0.974,0.701,23.36,1.025,351,0.961,0.25,ATE
1.5,0.16,20003671,"  3671 Dionysus (1984 KD)",Y,16.49,0.5438,2.197,1.002,13.53,0.3026,1.19e+03,3.26,0.015,APO
4.3,0.515,20003691,"  3691 Bede (1982 FT)",N,14.93,0.2845,1.774,1.270,20.35,0.4171,863,2.36,0.35,AMO
2.306,0.210,20003752,"  3752 Camillo (1985 PA)",N,15.14,0.3015,1.414,0.987,55.56,0.5864,614,1.68,0.0778,APO
2.071,0.365,20003753,"  3753 Cruithne (1986 TO)",N,15.42,0.5149,0.9978,0.484,19.80,0.9889,364,0.997,0.0703,ATE
0.5,0.18,20003757,"  3757 Anagolay (1982 XB)",Y,19.01,0.4459,1.835,1.017,3.87,0.3967,908,2.48,0.0366,APO
,,20003838,"  3838 Epona (1986 WA)",N,15.62,0.7027,1.505,0.447,29.20,0.5339,674,1.85,0.159,APO
1.0,0.23,20003908,"  3908 Nyx (1980 PA)",N,17.45,0.4590,1.928,1.043,2.19,0.3682,978,2.68,0.0567,AMO
